the_geom,OBJECTID,TREE_ID,ADDRESS,SPECIES,COM_NAME,DBH,HEIGHT,CONDITION,LAND_TYPE,PARK_NAME,X,Y
POINT (-97.74483852808704 30.279587356218784),4659,23376,600 W 16TH ST,Carya illinoinensis,Pecan,22,38,Fair,ROW,,3113572.70137,10074927.291
POINT (-97.74481056439507 30.27965857173691),4660,23377,1600 NUECES ST,Vacant Planting Site - Large,Vacant Planting Site - Large,0,0,NA,ROW,,3113580.92314,10074953.3897
POINT (-97.7447571664021 30.279824148382684),4661,23378,1600 NUECES ST,Carya illinoinensis,Pecan,9,38,Good,ROW,,3113596.37258,10075013.984
POINT (-97.74473848851402 30.279875024091936),4662,23379,1600 NUECES ST,Carya illinoinensis,Pecan,5,8,Poor,ROW,,3113601.83615,10075032.6192
POINT (-97.7446848507488 30.28001638514345),4663,23380,1600 NUECES ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3113617.56611,10075084.4107
POINT (-97.74464547203415 30.28010451272956),4664,23381,1600 NUECES ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3113629.24686,10075116.7424
POINT (-97.74462153829977 30.280177648595092),4665,23382,1600 NUECES ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3113636.18057,10075143.5097
POINT (-97.74459805915674 30.28023038177007),4666,23383,1600 NUECES ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3113643.14349,10075162.8555
POINT (-97.74450460071238 30.280492645274133),4667,23384,1700 NUECES ST,Carya illinoinensis,Pecan,32,53,Poor,ROW,,3113670.41607,10075258.8986
POINT (-97.74448730487669 30.28054737570527),4668,23385,1700 NUECES ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),16,38,Poor,ROW,,3113675.41081,10075278.9251
POINT (-97.74446813106655 30.280588510511844),4669,23386,1700 NUECES ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),16,23,Fair,ROW,,3113681.11323,10075294.0222
POINT (-97.74445565018871 30.280637959352752),4670,23387,1700 NUECES ST,Carya illinoinensis,Pecan,27,53,Good,ROW,,3113684.63323,10075312.093
POINT (-97.7444348690362 30.28068083749193),4671,23388,1700 NUECES ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),16,23,Fair,ROW,,3113690.8281,10075327.8358
POINT (-97.74441804552663 30.28072031885957),4672,23389,1700 NUECES ST,Carya illinoinensis,Pecan,27,53,Good,ROW,,3113695.80283,10075342.3144
POINT (-97.7444059816672 30.2808366315219),4673,23390,1700 NUECES ST,Quercus shumardii,Shumard Oak,7,23,Good,ROW,,3113698.62533,10075384.6933
POINT (-97.7443663254903 30.28091934389468),4674,23391,1700 NUECES ST,Carya illinoinensis,Pecan,22,53,Good,ROW,,3113710.43928,10075415.058
POINT (-97.74433068597828 30.281019638324075),4675,23392,1700 NUECES ST,Carya illinoinensis,Pecan,19,38,Good,ROW,,3113720.8369,10075451.786
POINT (-97.74430693914974 30.281094044808427),4676,23393,1700 NUECES ST,Ulmus americana,American Elm,30,38,Fair,ROW,,3113727.70073,10075479.014
POINT (-97.74416705092365 30.281380418184288),4677,23394,1800 NUECES ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3113769.42014,10075584.1643
POINT (-97.74407789143133 30.281636361672593),4678,23395,1800 NUECES ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3113795.38892,10075677.8781
POINT (-97.74402185999716 30.28178083955355),4679,23396,1800 NUECES ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3113811.84722,10075730.8205
POINT (-97.74400188030583 30.28185351201182),4680,23397,1800 NUECES ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3113817.53684,10075757.3904
POINT (-97.74391129816318 30.282111218715585),4681,23398,1800 NUECES ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3113843.93934,10075851.7557
POINT (-97.74374085275211 30.28206274770924),4682,23399,1800 NUECES ST,Quercus virginiana,Southern Live Oak,16,23,Good,ROW,,3113898.1351,10075835.3843
POINT (-97.74377707410508 30.281979634936075),4683,23400,1800 NUECES ST,Quercus virginiana,Southern Live Oak,15,23,Good,ROW,,3113887.40874,10075804.8991
POINT (-97.74379803376448 30.28190241375351),4684,23401,1800 NUECES ST,Quercus virginiana,Southern Live Oak,18,23,Good,ROW,,3113881.44846,10075776.6682
POINT (-97.74383329879362 30.281817739540813),4685,23402,1800 NUECES ST,Quercus virginiana,Southern Live Oak,16,23,Fair,ROW,,3113871.03706,10075745.6223
POINT (-97.74386543960065 30.281723255995992),4686,23403,1800 NUECES ST,Quercus virginiana,Southern Live Oak,17,23,Fair,ROW,,3113861.69456,10075711.0328
POINT (-97.74391189494392 30.281622138018513),4687,23404,1800 NUECES ST,Carya illinoinensis,Pecan,17,23,Fair,ROW,,3113847.89111,10075673.926
POINT (-97.74389840774319 30.281564675066203),4688,23405,1800 NUECES ST,Carya illinoinensis,Pecan,18,38,Fair,ROW,,3113852.63355,10075653.132
POINT (-97.74392811443012 30.28155104268636),4689,23406,1800 NUECES ST,Carya illinoinensis,Pecan,18,38,Fair,ROW,,3113843.37471,10075647.9572
POINT (-97.74397933792139 30.28141580603634),4690,23407,1800 NUECES ST,Triadica sebifera,Chinese Tallow,17,23,Fair,ROW,,3113828.35539,10075598.41
POINT (-97.7439842586097 30.281403873636094),4691,23408,1800 NUECES ST,Melia azedarach,Chinaberry,4,8,Fair,ROW,,3113826.90362,10075594.0354
POINT (-97.74399140226838 30.28141193602769),4692,23409,1800 NUECES ST,Melia azedarach,Chinaberry,5,23,Poor,ROW,,3113824.58111,10075596.9143
POINT (-97.7440028662378 30.281361456955022),4693,23410,1800 NUECES ST,Ulmus americana,American Elm,3,8,Fair,ROW,,3113821.39083,10075578.4764
POINT (-97.74403457328404 30.281280806536056),4694,23411,1800 NUECES ST,Acacia smallii,Small's Acacia,5,8,Fair,ROW,,3113812.06802,10075548.9197
POINT (-97.74410983224936 30.281093732292863),4695,23412,1700 NUECES ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3113789.90271,10075480.3483
POINT (-97.74413328610503 30.281026222837163),4696,23413,1700 NUECES ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3113783.073,10075455.6301
POINT (-97.74417025841139 30.280927566969034),4697,23414,1700 NUECES ST,Prunus mexicana,Mexican Plum,12,23,Poor,ROW,,3113772.241,10075419.4882
POINT (-97.74427278410855 30.28065828978777),4698,23415,1700 NUECES ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3113742.16691,10075320.8282
