the_geom,OBJECTID,TREE_ID,ADDRESS,SPECIES,COM_NAME,DBH,HEIGHT,CONDITION,LAND_TYPE,PARK_NAME,X,Y
POINT (-97.73690456349743 30.27315065776097),1,7,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,27,27,Poor,Park,Waterloo Neighborhood Park,3116131.02598,10072645.327
POINT (-97.73657691516101 30.27391037893772),2,63,1201 RED RIVER ST,Ulmus americana,American Elm,22,8,Fair,Park,Waterloo Neighborhood Park,3116227.97821,10072923.9685
POINT (-97.73659664504058 30.27335967021008),3,82,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,34,30,Poor,Park,Waterloo Neighborhood Park,3116226.4267,10072723.5907
POINT (-97.73631905671772 30.27381596470103),4,93,1201 RED RIVER ST,Carya illinoinensis,Pecan,30,8,Poor,Park,Waterloo Neighborhood Park,3116310.15587,10072891.5405
POINT (-97.736167256047 30.273598050149715),5,94,1201 RED RIVER ST,Quercus virginiana,Southern Live Oak,20,8,Fair,Park,Waterloo Neighborhood Park,3116359.912,10072813.4274
POINT (-97.73605625020771 30.273289940262597),6,102,1201 RED RIVER ST,Ulmus americana,American Elm,24,8,Fair,Park,Waterloo Neighborhood Park,3116397.55989,10072702.2196
POINT (-97.73648844533706 30.273190483629627),7,117,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,27,30,Fair,Park,Waterloo Neighborhood Park,3116262.00931,10072662.8733
POINT (-97.73648995249287 30.273330626348717),8,119,1201 RED RIVER ST,Quercus virginiana,Southern Live Oak,27,8,Poor,Park,Waterloo Neighborhood Park,3116260.34396,10072713.8167
POINT (-97.73682104909133 30.273118785758424),9,125,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,19,18,Poor,Park,Waterloo Neighborhood Park,3116157.65256,10072634.354
POINT (-97.73677567827752 30.27306578316778),10,127,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,33,35,Poor,Park,Waterloo Neighborhood Park,3116172.42091,10072615.417
POINT (-97.7365332977793 30.273028047804207),11,144,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,36,32,Fair,Park,Waterloo Neighborhood Park,3116249.23342,10072603.4826
POINT (-97.73645844916997 30.27290502777493),12,148,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,29,35,Good,Park,Waterloo Neighborhood Park,3116273.89905,10072559.3052
POINT (-97.73614442376994 30.27285182358676),13,175,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,31,35,Fair,Park,Waterloo Neighborhood Park,3116373.45331,10072542.2748
POINT (-97.74530494763748 30.27242725310525),14,185,900 GUADALUPE ST,Carya illinoinensis,Pecan,24,43,Fair,Park,Wooldridge Square,3113486.09295,10072320.5154
POINT (-97.74534397952135 30.27265455430266),16,188,900 GUADALUPE ST,Carya illinoinensis,Pecan,25,42,Fair,Park,Wooldridge Square,3113471.85183,10072402.8735
POINT (-97.74519405231051 30.27257318490524),17,189,900 GUADALUPE ST,Carya illinoinensis,Pecan,33,37,Fair,Park,Wooldridge Square,3113519.85567,10072374.3893
POINT (-97.74565115810847 30.272812270050935),18,194,900 GUADALUPE ST,Carya illinoinensis,Pecan,30,42,Fair,Park,Wooldridge Square,3113373.57546,10072457.9619
POINT (-97.7457701185576 30.272837405009003),19,195,900 GUADALUPE ST,Carya illinoinensis,Pecan,21,45,Fair,Park,Wooldridge Square,3113335.82028,10072466.2273
POINT (-97.74564991305608 30.272201105598562),20,199,900 GUADALUPE ST,Quercus stellata,Post Oak,25,8,Fair,Park,Wooldridge Square,3113379.13844,10072235.757
POINT (-97.74577852861034 30.27246317371583),21,200,900 GUADALUPE ST,Quercus stellata,Post Oak,28,38,Fair,Park,Wooldridge Square,3113336.33176,10072330.0983
POINT (-97.74584015069466 30.27259138285253),22,201,900 GUADALUPE ST,Ulmus crassifolia,Cedar Elm,19,36,Poor,Park,Wooldridge Square,3113315.79998,10072376.2616
POINT (-97.74590500512392 30.272682391447393),23,202,900 GUADALUPE ST,Quercus stellata,Post Oak,36,8,Fair,Park,Wooldridge Square,3113294.56282,10072408.8754
POINT (-97.74613489360213 30.272219202888632),24,204,900 GUADALUPE ST,Ulmus crassifolia,Cedar Elm,20,36,Fair,Park,Wooldridge Square,3113225.93008,10072238.7763
POINT (-97.74600664159121 30.27221223696499),25,205,900 GUADALUPE ST,Ulmus crassifolia,Cedar Elm,26,45,Fair,Park,Wooldridge Square,3113266.46412,10072237.1851
POINT (-97.74584462952438 30.272191639704424),26,206,900 GUADALUPE ST,Carya illinoinensis,Pecan,20,35,Fair,Park,Wooldridge Square,3113317.76782,10072230.8856
POINT (-97.74546978214276 30.272034304704416),27,211,900 GUADALUPE ST,Carya illinoinensis,Pecan,23,45,Poor,Park,Wooldridge Square,3113437.39718,10072176.4323
POINT (-97.74547881567698 30.27217319590558),28,212,900 GUADALUPE ST,Ulmus crassifolia,Cedar Elm,28,48,Fair,Park,Wooldridge Square,3113433.37127,10072226.8656
POINT (-97.74533196409531 30.27216217482389),29,213,900 GUADALUPE ST,Carya illinoinensis,Pecan,26,36,Fair,Park,Wooldridge Square,3113479.80949,10072223.9368
POINT (-97.73534667732476 30.275588857498274),30,252,1401 TRINITY ST,Carya illinoinensis,Pecan,21,55,Poor,Park,Waterloo Neighborhood Park,3116601.96664,10073543.3141
POINT (-97.73535730223828 30.275490352963928),31,254,1401 TRINITY ST,Carya illinoinensis,Pecan,24,60,Good,Park,Waterloo Neighborhood Park,3116599.45024,10073507.4205
POINT (-97.73533979557408 30.27540461200679),32,257,1401 TRINITY ST,Carya illinoinensis,Pecan,25,50,Good,Park,Waterloo Neighborhood Park,3116605.70318,10073476.3749
POINT (-97.73508746819277 30.27543797189041),33,261,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,23,35,Fair,Park,Waterloo Neighborhood Park,3116685.04915,10073490.3644
POINT (-97.73538811268185 30.2749934057845),35,277,1401 TRINITY ST,Carya illinoinensis,Pecan,19,50,Good,Park,Waterloo Neighborhood Park,3116593.94762,10073326.5081
POINT (-97.73528528968768 30.274830029980276),36,283,1401 TRINITY ST,Ulmus americana,American Elm,21,40,Fair,Park,Waterloo Neighborhood Park,3116627.78417,10073267.8642
POINT (-97.73520745224018 30.27390579969744),37,318,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,20,28,Poor,Park,Waterloo Neighborhood Park,3116660.19815,10072932.3967
POINT (-97.73523805237059 30.273731611924017),38,320,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,19,25,Good,Park,Waterloo Neighborhood Park,3116652.02067,10072868.8381
POINT (-97.73532151874016 30.27354411718063),39,323,1401 TRINITY ST,Carya illinoinensis,Pecan,20,20,Poor,Park,Waterloo Neighborhood Park,3116627.27236,10072800.0515
POINT (-97.73529775551216 30.27351572500963),40,324,1401 TRINITY ST,Carya illinoinensis,Pecan,21,47,Good,Park,Waterloo Neighborhood Park,3116635.01283,10072789.9035
POINT (-97.73517187369039 30.273274907201436),41,327,1401 TRINITY ST,Carya illinoinensis,Pecan,21,45,Fair,Park,Waterloo Neighborhood Park,3116676.78473,10072703.2725
POINT (-97.73521190099368 30.27330763917798),42,328,1401 TRINITY ST,Carya illinoinensis,Pecan,22,47,Poor,Park,Waterloo Neighborhood Park,3116663.87465,10072714.8784
POINT (-97.73514519955108 30.273475113310656),43,330,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,23,35,Fair,Park,Waterloo Neighborhood Park,3116683.50223,10072776.2621
POINT (-97.73511519747912 30.27339103192891),44,331,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,20,35,Good,Park,Waterloo Neighborhood Park,3116693.68463,10072745.9121
POINT (-97.73528311437823 30.273218685443794),45,338,1401 TRINITY ST,Ulmus crassifolia,Cedar Elm,22,40,Good,Park,Waterloo Neighborhood Park,3116642.15619,10072682.0107
POINT (-97.73542953247947 30.273163288679722),46,341,1401 TRINITY ST,Quercus fusiformis,Escarpment Live Oak,38,45,Fair,Park,Waterloo Neighborhood Park,3116596.41907,10072660.7896
POINT (-97.73539736442528 30.273000839184125),47,343,1401 TRINITY ST,Quercus fusiformis,Escarpment Live Oak,37,38,Fair,Park,Waterloo Neighborhood Park,3116607.95055,10072601.9616
POINT (-97.73567220822657 30.273189161797244),48,366,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,22,8,Fair,Park,Waterloo Neighborhood Park,3116519.61411,10072668.408
POINT (-97.73556262825454 30.273619651661527),49,396,1401 TRINITY ST,Carya illinoinensis,Pecan,27,8,Good,Park,Waterloo Neighborhood Park,3116550.54023,10072825.7378
POINT (-97.7359587924823 30.273323072287095),50,409,1401 TRINITY ST,Ulmus americana,American Elm,33,8,Poor,Park,Waterloo Neighborhood Park,3116428.0349,10072714.9844
POINT (-97.73597931713205 30.27335839455108),51,410,1201 RED RIVER ST,Carya illinoinensis,Pecan,23,8,Good,Park,Waterloo Neighborhood Park,3116421.25768,10072727.676
POINT (-97.73610874473212 30.273596558317653),52,412,1201 RED RIVER ST,Carya illinoinensis,Pecan,23,8,Fair,Park,Waterloo Neighborhood Park,3116378.38998,10072813.3162
POINT (-97.73608859616324 30.27381426154092),53,414,1201 RED RIVER ST,Quercus virginiana,Southern Live Oak,21,35,Good,Park,Waterloo Neighborhood Park,3116382.90015,10072892.6195
POINT (-97.7361053285124 30.274007624459905),54,416,1201 RED RIVER ST,Carya illinoinensis,Pecan,19,8,Fair,Park,Waterloo Neighborhood Park,3116375.97791,10072962.8011
POINT (-97.73593132852275 30.274295014753456),55,420,1201 RED RIVER ST,Quercus virginiana,Southern Live Oak,19,30,Good,Park,Waterloo Neighborhood Park,3116428.44927,10073068.5759
POINT (-97.73578093258347 30.274492589467286),56,442,1201 RED RIVER ST,Ulmus americana,American Elm,20,40,Good,Park,Waterloo Neighborhood Park,3116474.23395,10073141.5206
POINT (-97.73563812447527 30.274396765811005),57,447,1401 TRINITY ST,Quercus fusiformis,Escarpment Live Oak,38,35,Fair,Park,Waterloo Neighborhood Park,3116520.11542,10073107.7326
POINT (-97.73642414053617 30.27400704678886),58,460,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,39,47,Poor,Park,Waterloo Neighborhood Park,3116275.37083,10072960.2418
POINT (-97.73638195530265 30.274113091500716),59,461,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,44,50,Good,Park,Waterloo Neighborhood Park,3116287.78354,10072999.1095
POINT (-97.73732200805816 30.26326655561648),60,565,2000 N IH 35 SB,Carya illinoinensis,Pecan,32,37,Fair,Park,Sir Swante Palm Neighborhood Park,3116083.16813,10069048.4835
POINT (-97.73766665206595 30.263041230206536),61,575,2000 N IH 35 SB,Ulmus americana,American Elm,28,42,Good,Park,Sir Swante Palm Neighborhood Park,3115976.30385,10068964.0185
POINT (-97.7381339508067 30.262891037702808),62,595,600 E 2 ST,Carya illinoinensis,Pecan,25,35,Good,Park,Sir Swante Palm Neighborhood Park,3115830.08924,10068905.968
POINT (-97.73834118488662 30.26281059814542),63,604,600 E 2 ST,Ulmus americana,American Elm,23,35,Good,Park,Sir Swante Palm Neighborhood Park,3115765.36431,10068875.1948
POINT (-97.73827742957604 30.26263492479727),64,607,2000 N IH 35 SB,Carya illinoinensis,Pecan,24,32,Good,Park,Sir Swante Palm Neighborhood Park,3115786.97712,10068811.7911
POINT (-97.73816507780519 30.262637213208375),65,610,2000 N IH 35 SB,Carya illinoinensis,Pecan,19,32,Fair,Park,Sir Swante Palm Neighborhood Park,3115822.41833,10068813.4505
POINT (-97.73711078745164 30.263118587768627),66,623,109 SABINE ST,Quercus durandii,Durand Oak,54,37,Good,Park,Sir Swante Palm Neighborhood Park,3116151.08926,10068996.2398
POINT (-97.73711320193914 30.26309737480863),67,624,109 SABINE ST,Ulmus crassifolia,Cedar Elm,19,36,Fair,Park,Sir Swante Palm Neighborhood Park,3116150.50724,10068988.5092
POINT (-97.73703002001722 30.26319377654483),68,628,109 SABINE ST,Ulmus crassifolia,Cedar Elm,19,32,Fair,Park,Sir Swante Palm Neighborhood Park,3116175.94288,10069024.1729
POINT (-97.73705571709024 30.26244147692914),69,632,2000 N IH 35 SB,Quercus durandii,Durand Oak,50,37,Fair,Park,Sir Swante Palm Neighborhood Park,3116174.21749,10068750.4543
POINT (-97.73720947779783 30.262556889052235),70,633,109 SABINE ST,Quercus durandii,Durand Oak,28,37,Poor,Park,Sir Swante Palm Neighborhood Park,3116124.70775,10068791.2842
POINT (-97.73732870447039 30.262567829246464),71,634,2000 N IH 35 SB,Quercus durandii,Durand Oak,36,39,Good,Park,Sir Swante Palm Neighborhood Park,3116086.9844,10068794.3836
POINT (-97.73750840346354 30.262650938445883),72,635,2000 N IH 35 SB,Quercus durandii,Durand Oak,27,36,Fair,Park,Sir Swante Palm Neighborhood Park,3116029.56227,10068823.2776
POINT (-97.7375100037712 30.262571700131176),73,636,2000 N IH 35 SB,Carya illinoinensis,Pecan,19,42,Good,Park,Sir Swante Palm Neighborhood Park,3116029.72959,10068794.4555
POINT (-97.73763212983852 30.262658953892608),74,637,600 E 2 ST,Carya illinoinensis,Pecan,49,38,Poor,Park,Sir Swante Palm Neighborhood Park,3115990.44358,10068825.2805
POINT (-97.73660490022702 30.26224130428194),75,639,2000 N IH 35 SB,Carya illinoinensis,Pecan,28,35,Good,Park,Sir Swante Palm Neighborhood Park,3116318.20441,10068680.9951
POINT (-97.73645877024661 30.262655895940192),76,642,109 SABINE ST,Carya illinoinensis,Pecan,38,45,Good,Park,Sir Swante Palm Neighborhood Park,3116360.80669,10068832.8137
POINT (-97.73650256236844 30.262769877670557),77,643,109 SABINE ST,Carya illinoinensis,Pecan,34,35,Poor,Park,Sir Swante Palm Neighborhood Park,3116346.01734,10068873.9337
POINT (-97.73636001676462 30.262973917197137),78,644,109 SABINE ST,Quercus virginiana,Southern Live Oak,20,29,Good,Park,Sir Swante Palm Neighborhood Park,3116389.27546,10068949.171
POINT (-97.73657567324184 30.263122436408274),79,645,109 SABINE ST,Carya illinoinensis,Pecan,25,25,Poor,Park,Sir Swante Palm Neighborhood Park,3116319.94916,10069001.582
POINT (-97.73661018541289 30.263131979726804),80,646,109 SABINE ST,Carya illinoinensis,Pecan,26,34,Poor,Park,Sir Swante Palm Neighborhood Park,3116308.97542,10069004.7976
POINT (-97.74580580469397 30.26984984692161),81,870,300 W 7TH ST,Quercus virginiana,Southern Live Oak,11,25,Fair,ROW,,3113349.82944,10071379.7151
POINT (-97.7457236146177 30.269813170925687),82,871,300 W 7TH ST,Quercus virginiana,Southern Live Oak,11,25,Fair,ROW,,3113376.07873,10071366.9835
POINT (-97.74561818795455 30.269779380511245),83,872,300 W 7TH ST,Quercus virginiana,Southern Live Oak,9,25,Fair,ROW,,3113409.63706,10071355.4717
POINT (-97.74551924802942 30.26975366341961),84,873,300 W 7TH ST,Quercus virginiana,Southern Live Oak,10,25,Fair,ROW,,3113441.07991,10071346.8477
POINT (-97.74544116362169 30.269729619914006),85,874,300 W 7TH ST,Quercus virginiana,Southern Live Oak,9,25,Fair,ROW,,3113465.92665,10071338.6791
POINT (-97.73884514384736 30.267891541122747),88,878,400 E 7TH ST,Celtis laevigata,Sugarberry,16,25,Poor,ROW,,3115563.20986,10070718.8689
POINT (-97.73879233572153 30.26787612638935),89,879,400 E 7TH ST,Celtis laevigata,Sugarberry,7,8,Poor,ROW,,3115580.00707,10070713.6531
POINT (-97.74547466218719 30.269914456117966),90,880,300 W 7TH ST,Quercus virginiana,Southern Live Oak,11,16,Fair,ROW,,3113453.79085,10071405.6379
POINT (-97.74541118695488 30.26990816072534),91,881,300 W 7TH ST,Quercus virginiana,Southern Live Oak,10,23,Fair,ROW,,3113473.87676,10071403.8151
POINT (-97.74535432222501 30.26989380195126),92,882,300 W 7TH ST,Quercus virginiana,Southern Live Oak,13,25,Fair,ROW,,3113491.94464,10071399.0119
POINT (-97.74530319369462 30.26987355302905),93,883,300 W 7TH ST,Quercus virginiana,Southern Live Oak,8,17,Fair,ROW,,3113508.25202,10071392.0251
POINT (-97.74523422594054 30.269857118896887),94,884,300 W 7TH ST,Quercus virginiana,Southern Live Oak,9,19,Fair,ROW,,3113530.15716,10071386.5563
POINT (-97.74517697377426 30.26984678297432),95,885,300 W 7TH ST,Quercus virginiana,Southern Live Oak,9,17,Fair,ROW,,3113548.31329,10071383.2187
POINT (-97.74511520718696 30.269834377906946),96,886,300 W 7TH ST,Quercus virginiana,Southern Live Oak,13,25,Fair,ROW,,3113567.91168,10071379.1619
POINT (-97.74506337619734 30.269824086467985),97,887,300 W 7TH ST,Quercus virginiana,Southern Live Oak,13,27,Fair,ROW,,3113584.35653,10071375.8007
POINT (-97.74225507007614 30.269007048518702),98,888,100 E 7TH ST,Quercus shumardii,Shumard Oak,23,27,Fair,ROW,,3114477.57358,10071099.3695
POINT (-97.74066541996478 30.268588821778575),99,889,200 E 7TH ST,Quercus virginiana,Southern Live Oak,8,20,Fair,ROW,,3114982.81305,10070958.9974
POINT (-97.74052938810019 30.268546623339684),100,890,200 E 7TH ST,Quercus virginiana,Southern Live Oak,5,15,Fair,ROW,,3115026.10266,10070944.6552
POINT (-97.7404226970865 30.26850134597201),101,891,200 E 7TH ST,Quercus virginiana,Southern Live Oak,9,22,Good,ROW,,3115060.15837,10070928.9778
POINT (-97.74033633193288 30.268473155121328),102,892,200 E 7TH ST,Quercus virginiana,Southern Live Oak,8,20,Good,ROW,,3115087.65438,10070919.3633
POINT (-97.74024725021958 30.268457204543942),103,893,200 E 7TH ST,Quercus virginiana,Southern Live Oak,8,22,Good,ROW,,3115115.90399,10070914.2193
POINT (-97.73772391159137 30.267746872284885),104,894,500 E 7TH ST,Ulmus parvifolia,Chinese Elm,7,23,Fair,ROW,,3115918.30298,10070674.5252
POINT (-97.73744955126851 30.26766560495388),105,895,500 E 7TH ST,Ulmus parvifolia,Chinese Elm,6,18,Fair,ROW,,3116005.582,10070646.998
POINT (-97.73738444919123 30.26764592514043),106,896,500 E 7TH ST,Ulmus parvifolia,Chinese Elm,6,16,Fair,ROW,,3116026.29554,10070640.3222
POINT (-97.73666544271386 30.267477897365726),107,897,700 RED RIVER ST,Stump,Stump,8,5,Stump,ROW,,3116254.64384,10070584.526
POINT (-97.73660592425833 30.267464440067343),108,898,600 E 7TH ST,Stump,Stump,8,5,Stump,ROW,,3116273.54242,10070580.0717
POINT (-97.73655391419302 30.26745041032948),109,899,600 E 7TH ST,Stump,Stump,8,5,Stump,ROW,,3116290.07618,10070575.3538
POINT (-97.73651296045288 30.267437006190214),110,900,600 E 7TH ST,Stump,Stump,8,5,Stump,ROW,,3116303.1152,10070570.782
POINT (-97.74971664121183 30.26887916813022),111,942,600 W 5TH ST,Ulmus parvifolia,Chinese Elm,4,8,Good,ROW,,3112123.77415,10070998.0915
POINT (-97.74363770831113 30.28211172150221),112,1055,512 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3113930.26857,10075853.9486
POINT (-97.74315114962268 30.281978211298984),113,1056,500 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3114084.93657,10075808.9808
POINT (-97.74306097533267 30.28195154718567),114,1057,500 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3114113.61761,10075799.9487
POINT (-97.74299819920397 30.281933283582767),115,1058,500 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3114133.58181,10075793.7696
POINT (-97.74291850390522 30.2819106923032),116,1059,500 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3114158.92165,10075786.1413
POINT (-97.74246194425218 30.28177361882243),117,1060,400 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3114304.15397,10075739.6584
POINT (-97.74237824657193 30.281752570499812),118,1061,400 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3114330.74382,10075732.6207
POINT (-97.7383627767922 30.280608622295507),119,1070,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115607.56574,10075346.2331
POINT (-97.73846202072384 30.280630765891633),120,1071,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115576.06022,10075353.5536
POINT (-97.73853220253235 30.28065016525597),121,1072,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115553.74892,10075360.0903
POINT (-97.7386247233326 30.280679140483073),122,1073,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115524.30705,10075369.9443
POINT (-97.73869408639389 30.28069960599112),123,1074,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115502.24508,10075376.8747
POINT (-97.73874507494031 30.28070902021258),124,1075,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115486.07517,10075379.9223
POINT (-97.73883737387763 30.280729775863342),125,1076,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115456.77306,10075386.7894
POINT (-97.73891037714912 30.28075394688185),126,1077,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115433.53098,10075395.0404
POINT (-97.7389642999925 30.280771667833715),127,1078,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115416.36468,10075401.0866
POINT (-97.73904294595296 30.280787588294213),128,1079,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115391.41197,10075406.2963
POINT (-97.73915871749963 30.280833349082755),129,1080,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115354.49078,10075422.0823
POINT (-97.73921728384202 30.280844485688384),130,1081,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115335.91503,10075425.7004
POINT (-97.73929671400795 30.280867479088023),131,1082,100 W MARTIN LUTHER KING JR BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115310.65491,10075433.476
POINT (-97.7393946729532 30.280902637500077),132,1083,1800 COLORADO ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115279.44467,10075445.5383
POINT (-97.74810640249592 30.269638933942264),133,1106,500 W 6TH ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3112625.5471,10071286.1447
POINT (-97.74824016845413 30.2696766733039),134,1107,500 W 6TH ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3112583.01175,10071298.8852
POINT (-97.73892074276033 30.27156690535557),135,1147,1000 SAN JACINTO BLVD,Quercus shumardii,Shumard Oak,21,35,Poor,ROW,,3115508.17847,10072054.6412
POINT (-97.74039735138848 30.26756896313398),136,1154,600 SAN JACINTO BLVD,Ulmus crassifolia,Cedar Elm,8,21,Fair,ROW,,3115076.0609,10070590.1582
POINT (-97.7404199627207 30.26751646498106),137,1155,600 SAN JACINTO BLVD,Ulmus crassifolia,Cedar Elm,6,21,Fair,ROW,,3115069.36964,10070570.904
POINT (-97.74024733903177 30.267480912291457),138,1156,600 SAN JACINTO BLVD,Ulmus crassifolia,Cedar Elm,11,25,Fair,ROW,,3115124.15201,10070559.2475
POINT (-97.74022889053215 30.267526730708926),139,1157,600 SAN JACINTO BLVD,Ulmus crassifolia,Cedar Elm,7,21,Fair,ROW,,3115129.58605,10070576.0425
POINT (-97.74049093766469 30.267302782986373),140,1158,500 SAN JACINTO BLVD,Ulmus crassifolia,Cedar Elm,8,21,Fair,ROW,,3115048.78077,10070492.689
POINT (-97.74051457461987 30.26723160003228),141,1159,500 SAN JACINTO BLVD,Ulmus crassifolia,Cedar Elm,8,21,Fair,ROW,,3115041.92415,10070466.6336
POINT (-97.74033086441796 30.26727691384144),142,1160,500 SAN JACINTO BLVD,Ulmus crassifolia,Cedar Elm,9,21,Fair,ROW,,3115099.52017,10070484.461
POINT (-97.74167169443879 30.266938335898356),143,1183,500 BRAZOS ST,Fraxinus texensis,Texas Ash,4,15,Fair,ROW,,3114679.21425,10070351.4937
POINT (-97.74164732430619 30.26699794792942),144,1184,500 BRAZOS ST,Acer grandidentatum,Bigtooth Maple,4,15,Fair,ROW,,3114686.40059,10070373.3473
POINT (-97.74151859232086 30.26734530812225),145,1185,500 BRAZOS ST,Fraxinus texensis,Texas Ash,4,15,Fair,ROW,,3114724.08621,10070500.5912
POINT (-97.7414986491581 30.267406012179876),146,1186,500 BRAZOS ST,Fraxinus texensis,Texas Ash,4,15,Fair,ROW,,3114729.86605,10070522.8093
POINT (-97.74147231607216 30.26745885120564),147,1187,500 BRAZOS ST,Fraxinus texensis,Texas Ash,4,15,Fair,ROW,,3114737.72922,10070542.2148
POINT (-97.74145698445908 30.267515829832217),148,1188,500 BRAZOS ST,Acer grandidentatum,Bigtooth Maple,2,9,Fair,ROW,,3114742.08519,10070563.0445
POINT (-97.74172507227432 30.267269042662345),149,1189,500 BRAZOS ST,Fraxinus texensis,Texas Ash,4,15,Fair,ROW,,3114659.56599,10070471.3432
POINT (-97.74170282731468 30.267331466074033),150,1190,500 BRAZOS ST,Fraxinus texensis,Texas Ash,5,15,Fair,ROW,,3114666.05778,10070494.2034
POINT (-97.74168060806129 30.267384721311416),151,1191,500 BRAZOS ST,Fraxinus texensis,Texas Ash,5,15,Fair,ROW,,3114672.61912,10070513.7299
POINT (-97.74165793992552 30.267446564975387),152,1192,500 BRAZOS ST,Fraxinus texensis,Texas Ash,5,15,Fair,ROW,,3114679.24935,10070536.3824
POINT (-97.7416391328102 30.26750189512834),153,1193,500 BRAZOS ST,Fraxinus texensis,Texas Ash,4,15,Fair,ROW,,3114684.71621,10070556.6383
POINT (-97.7415010309644 30.26785602376254),154,1194,600 BRAZOS ST,Ulmus crassifolia,Cedar Elm,8,65,Fair,ROW,,3114725.30143,10070686.412
POINT (-97.74147781485405 30.267929983786594),155,1195,600 BRAZOS ST,Ulmus crassifolia,Cedar Elm,6,65,Fair,ROW,,3114732.00187,10070713.4739
POINT (-97.74134820460532 30.267806870495704),156,1196,600 BRAZOS ST,Acer grandidentatum,Bigtooth Maple,1,8,Fair,ROW,,3114773.95061,10070669.6643
POINT (-97.74132624802704 30.267865276144615),157,1197,600 BRAZOS ST,Fraxinus texensis,Texas Ash,4,65,Fair,ROW,,3114780.38531,10070691.0616
POINT (-97.74130614921239 30.267924489971517),158,1198,600 BRAZOS ST,Fraxinus texensis,Texas Ash,4,18,Fair,ROW,,3114786.22683,10070712.739
POINT (-97.7412794829836 30.26798558496671),159,1199,600 BRAZOS ST,Fraxinus texensis,Texas Ash,4,18,Fair,ROW,,3114794.12511,10070735.1488
POINT (-97.74125998568996 30.268048062995366),160,1200,600 BRAZOS ST,Fraxinus texensis,Texas Ash,4,18,Fair,ROW,,3114799.74911,10070758.0086
POINT (-97.7411944748486 30.268216131588993),161,1201,600 BRAZOS ST,Fraxinus texensis,Texas Ash,4,18,Fair,ROW,,3114819.00039,10070819.5987
